음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
쌀밥,210.0,334.79999999999995,73.71000000000001,0.0,0.44999999999999996,5.76,3.5999999999999996,126,59.400000000000006,146.7,-,0.36,1.35,0.0,0
기타잡곡밥,200.0,302.362,65.52109999999999,0.0,0.7462,6.7092,12.059999999999999,117.836,3.3919999999999995,166.718,6.9,1.7447000000000001,1.8264,0.0,0
콩밥,200.0,322.90000000000003,65.846,0.0,1.6660000000000001,8.427999999999999,24.7,126.9,4.1,258.4,22.5,1.7400000000000002,1.6099999999999999,0.0,0
보리밥,200.0,316.1,70.57,0.0,0.14,5.55,6.699999999999999,68.8,4.5,100.6,0,1.2600000000000002,1.41,0.0,0
돌솥밥,350.0,528.855,101.85,0.0,8.347000000000001,10.187,61.455,193.72,618.3149999999999,624.3199999999999,57.785000000000004,3.3209999999999997,2.582,2.365,0
현미밥,230.0,351.35,77.8771,0.0,1.1021,6.6575999999999995,6.006,178.279,42.079,209.326,0,1.0507,1.6518000000000002,0.0,0
흑미밥,200.0,318.0,70.28999999999999,0.0,0.39,5.4399999999999995,6.3,98.6,4.5,112.9,0,1.29,1.3499999999999999,0.0,0
감자밥,200.0,308.0,68.64,0.0,0.08,5.68,6.4,86.8,5.2,267.6,9.2,1.36,1.4,0.0,0
곤드레밥,350.0,506.8,108.05199999999999,0.0,8.372,14.14,30.324,95.47999999999999,88.753,815.9235000000001,22.400000000000002,1.8760000000000001,1.7779999999999998,0.0,0
김치볶음밥,500.0,656.98,79.29000000000002,3.996,5.06,8.739999999999998,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.0,0
주먹밥,150.0,209.56,36.18000000000001,0.0,3.463,6.703,85.43200000000002,151.23000000000002,329.69,179.326,0,0.6970000000000001,0.804,50.13,0
볶음밥,400.0,687.744,100.328,0.0,19.29,24.458,58.42,414.66,1441.42,578.88,14.98,3.294,3.445,309.0,0
일반비빔밥,500.0,702.996,95.68336363600001,3.44,25.283909091,22.595090909,96.79599999999999,289.33,1234.0880000000002,742.508,55.8,4.754363635999999,4.159818182,40.2,0
전주비빔밥,450.0,662.192,92.98948756,3.44,13.033502488,15.843492536999998,65.03999999999999,236.12099999999995,1281.3020000000001,450.114,10.839,3.23500995,2.863487562,286.943,0
삼선볶음밥,400.0,683.617,113.42848756000001,5.093999999999999,16.842502488,19.258492537,119.37299999999999,249.10999999999999,1155.8060000000003,640.9730000000001,29.669999999999998,4.52400995,3.569487562,119.13,0
새우볶음밥,400.0,634.52,91.62000000000002,0.0,17.905,24.114999999999995,81.82000000000001,341.29999999999995,1124.628,710.655,17.68,4.145666666666667,2.817606060333333,127.2,0
알밥,400.0,606.54,92.10000000000001,0.0,3.45,15.16,68.6,235.40000000000003,1647.8660000000002,510.41,7.4,3.5599999999999996,3.3000000000000003,39.0,0
산채비빔밥 ,400.0,495.89000000000004,89.6601645,0.52,10.9935671,10.663298700999999,63.099999999999994,160.294,1060.7779999999998,509.952,38.808,3.526268398,2.053437229,0.0,0
오므라이스,450.0,684.986,101.62116449999999,0.0,19.751567100000003,23.145298700999998,81.556,341.25699999999995,1123.236,788.3779999999999,33.71,4.132601730999999,3.6659978349999998,605.625,0
육회비빔밥,450.0,661.41,91.74216450000004,2.58,17.5395671,32.001298701,86.38,404.74000000000007,1126.6,793.74,33.58,5.968268398,6.529437228999999,241.65,0
해물볶음밥,400.0,659.23,85.19216449999999,0.0,23.709567099999997,22.681298700999996,77.49999999999999,305.55,951.0300000000001,555.3600000000001,24.199999999999996,4.128268398,3.079437229,362.40000000000003,0
열무비빔밥,400.0,445.65999999999997,90.0321645,1.72,3.1595671,12.991298701,91.05999999999999,167.96,718.39,708.68,1.29,3.9082683979999997,2.652164502,12.8,0
불고기덮밥,500.0,699.96,92.0921645,5.99,21.3995671,29.311298701,45.77000000000001,328.37000000000006,1182.8799999999999,764.5,30.22,4.248268398,8.772164501999999,72.0,0
소고기국밥,700.0,331.71,54.93,0.0,4.74,16.04,33.02,194.58,1613.2100000000003,485.21,-,3.61,2.31,25.5,0
송이덮밥,600.0,600.42,103.57,0.0,14.45,16.28,91.94,279.96,1578.85,1313.48,-,5.71,4.25,9.54,0
오징어덮밥,500.0,693.9799999999998,83.42800000000001,2.6879999999999997,20.92,40.589999999999996,76.77000000000001,586.8299999999998,1497.37,874.9599999999999,62.69,3.227,4.626,387.6,0
자장밥,500.0,729.6170000000001,98.078,4.0,24.949999999999996,25.758,81.90500000000002,297.11999999999995,1521.8500000000001,781.9300000000001,32.504,5.701,5.681999999999998,36.0,0
잡채밥,650.0,851.54,125.70000000000002,4.0,28.610000000000003,21.139999999999997,84.10999999999999,287.78,2251.34,817.0800000000002,32.55,4.829999999999999,5.895999999999999,36.0,0
잡탕밥,750.0,737.23,100.55000000000001,0.0,22.479999999999997,29.02,77.6,363.25000000000006,1922.1350000000004,803.73,15.649999999999999,4.859999999999999,6.223999999999999,188.05,0
장어덮밥,400.0,671.7199999999999,103.036424242,0.0,19.236181818,26.135818182,611.1199999999999,448.26,893.22,785.08,28.599999999999998,22.165575758,4.746,156.96,0
제육덮밥,500.0,796.94,95.8,5.4,27.52,37.8,46.04,573.7,1375.6899999999998,624.95,-,6.28,7.17,108.0,0
짬뽕밥,900.0,696.6878378,93.41573338,0.0,22.41699592,41.79552295,394.1657658,667.6127928,2869.53538288,1715.521081,-,11.59119369,5.569690154,304.3,0
순대국밥,900.0,690.3500000000001,34.229,0.0,16.478,17.338,132.855,239.255,3418.195,672.91,3.45,9.11,6.622,1480.97,0
카레라이스,500.0,653.24,92.576,0.0,10.667,13.398,27.9,218.24,1108.55,525.62,70.18,1.982,2.655,13.75,0
전주콩나물국밥,900.0,432.38,88.732,0.0,3.525,12.496,76.88,231.65,1753.2550000000003,525.79,67.79,2.384,2.368,2.77,0
해물덮밥,700.0,837.976,100.112,0.0,29.0,51.768,167.536,542.32,2117.832,1361.768,34.8,16.632,5.856,293.872,0
회덮밥,500.0,697.996,101.753,18.405,11.397,42.992,117.12,587.9400000000002,777.6299999999999,1131.3499999999997,6.98,3.900000000000001,2.672,125.59,0
소머리국밥,1100.0,891.4300000000002,77.05799999999999,0.0,40.76200000000001,48.943,53.254999999999995,302.425,970.8949999999999,455.78,24.665,1.8909999999999998,4.220000000000001,477.1,0
돼지국밥,1200.0,811.4399999999999,78.28399999999999,3.3,36.452999999999996,56.754999999999995,65.73,280.74,1257.67,497.83,57.14,42.954,43.665,734.4999999999999,0
하이라이스,360.0,477.6,84.591,0.0,9.669,7.92,5.94,139.95,991.68,251.61,6.6,0.546,1.506,8.574,0
김치김밥,250.0,377.26200000000006,71.80399999999999,0.0,4.619999999999999,11.449,79.06,220.2,967.7899999999998,413.85999999999996,3.5999999999999996,1.4620000000000002,1.9569999999999996,99.6,0
농어초밥,250.0,414.78000000000003,74.14399999999999,6.9719999999999995,2.367,19.925,54.125,273.49,1385.4599999999998,479.70000000000005,0,1.5765,1.6655,43.47,0
문어초밥,250.0,377.97,71.835,4.98,1.0300000000000002,16.904,30.200000000000003,256.61,1420.922,395.09000000000003,25.75,1.113,2.5229999999999997,96.0,0
새우초밥,250.0,395.54,69.54299999999999,2.988,1.206,22.737,73.38999999999999,341.13,1396.751,372.745,2.6,2.6189999999999998,2.1689999999999996,138.32999999999998,0
새우튀김롤,300.0,572.016,81.496,3.996,18.896,21.112000000000002,110.82000000000001,371.52000000000004,1512.5009999999997,715.82,0.24,3.4159999999999995,2.492,96.53999999999999,0
샐러드김밥,250.0,422.434,75.84150000000001,0.0,7.508,12.764000000000001,45.65850000000001,226.50950000000003,906.6774999999999,541.3279999999999,13.737499999999997,2.147,2.2404999999999995,100.5305,0
광어초밥,300.0,471.6640000000001,72.526,5.229,3.206,33.741499999999995,88.07100000000001,410.8865,951.2755,747.0895,1.4000000000000001,2.956,1.943,126.495,0
소고기김밥,250.0,425.6660000000001,76.07049999999998,0.0,6.636000000000001,14.671000000000001,64.3295,236.137,1477.9844999999998,553.9969999999998,12.5195,2.2725000000000004,2.6054999999999997,99.8725,0
갈비삼각김밥,100.0,183.18,32.745999999999995,0.0,2.5949999999999998,6.861000000000001,14.924999999999999,90.90299999999999,398.119,180.594,4.932,1.159,1.1720000000000002,12.42,0
연어롤 ,300.0,518.58,76.107,0.0,14.719000000000001,20.723,64.97300000000001,359.158,1243.818,665.561,23.577,3.8329999999999997,2.139,51.732000000000006,0
연어초밥,250.0,451.029,70.868,3.964,5.763,24.939999999999998,38.0255,367.082,995.03,476.129,0.796,1.6869999999999998,1.8739999999999999,54.6,0
유부초밥,250.0,463.21,78.47399999999999,6.765,11.231999999999998,12.366000000000001,120.18,225.59,929.0659999999998,291.498,27.275999999999996,2.108,2.137,0.0,0
장어초밥,400.0,486.34837000000005,74.84050999999998,2.0595,12.734900000000001,16.325039999999998,132.82813000000002,283.26887,1291.8050500000002,500.64180000000005,14.547500000000001,2.5158,2.39437,130.42722,0
참치김밥,250.0,401.224,47.553,0.0,14.586999999999998,19.825,57.80499999999999,279.82,925.7310000000001,380.32500000000005,15.629999999999999,4.523,1.9622,143.67000000000002,0
참치마요삼각김밥,100.0,189.582,31.933999999999997,0.0,2.889,8.11,6.98,82.82000000000001,189.10000000000002,69.275,0,1.591,0.7718,16.63,0
치즈김밥 ,250.0,462.2269,77.125,0.0,8.843,17.1226,137.52329999999998,330.23330000000004,919.9703,445.72310000000004,10.18,1.4263000000000001,2.5300000000000002,83.02000000000001,0
캘리포니아롤,300.0,468.16,81.22,0.0,9.73,12.8,106.58,211.89,1351.96,271.15,3.06,4.95,3.08,28.34,0
한치초밥,250.0,389.96,77.31,1.74,1.2,13.54,19.98,222.63,1153.49,182.25,1.65,1.86,2.54,0.75,0
일반김밥,200.0,348.87,63.636,0.0,5.424,10.276,41.45,159.43,951.3200000000002,355.38,3.24,3.398,1.906,69.12,0
간자장,650.0,807.7367999999999,121.74799999999998,6.7932,26.380599999999998,29.283200000000004,124.3488,308.08799999999997,2347.7712,607.1768000000001,21.247999999999998,7.059999999999999,2.6116,19.4344,0
굴짬뽕,900.0,640.774,115.816,1.998,7.759,37.39,196.77,506.59999999999997,2385.3450000000003,1371.885,48.86000000000001,14.281,10.337000000000003,178.2,0
기스면,1000.0,645.6099999999999,98.30199999999999,0.0,11.004000000000001,43.516999999999996,270.98,443.37,2279.5240000000003,862.721,11.6,12.271,3.133,341.1,0
김치라면,650.0,512.2552499999999,80.56555,2.27305,20.338500000000003,12.970749999999999,62.70224999999999,166.9395,2628.288,652.66825,1.4949999999999999,1.8239,1.2967499999999998,15.404999999999998,0
김치우동,800.0,512.712,99.064,0.0,4.736,16.744,247.856,233.552,3003.048,725.528,11.2,4.144,1.76,33.44,0
김치말이국수,600.0,310.37699999999995,60.75599999999999,2.997,2.469,10.418000000000003,105.79000000000002,190.999,2335.4480000000003,453.95699999999994,-,2.4259999999999997,1.434,22.23,0
닭칼국수,900.0,643.097,70.238,0.0,19.587000000000007,39.85900000000001,110.155,285.9659999999999,2492.774,913.479,5.7749999999999995,2.4510000000000005,1.6370000000000002,113.772,0
들깨칼국수,600.0,442.32199999999995,76.674,2.398,6.778,17.477,176.46699999999998,217.32,1695.7730000000001,693.3120000000001,0,2.452,1.075,16.72,0
떡라면,700.0,672.1799999999998,121.08300000000001,0.0,17.579000000000004,15.451,30.33,2376.0400000000004,2214.3559999999998,362.50999999999993,0.515,1.594,1.3485999999999998,2.344,0
라면,550.0,509.32800000000003,83.16800000000002,0.0,17.748,14.077000000000002,32.993,145.281,1695.5009999999997,374.069,0.97,1.226,1.1909999999999998,2.344,0
막국수,550.0,566.886,111.30199999999998,11.022,5.0874999999999995,26.9485,68.89600000000002,286.782,1828.021,894.768,19.550000000000004,3.9274999999999998,5.231,37.1,0
메밀국수,600.0,588.6750000000001,120.08700000000003,10.162,4.526999999999999,25.259000000000004,76.058,224.956,1962.4579999999996,629.1239999999998,11.48,3.2119999999999997,4.64,35.980000000000004,0
물냉면,800.0,579.71,96.40300000000002,1.199,9.779,28.784,87.735,422.72,2586.1597,1042.8850000000002,16.39,7.770999999999999,5.6895,178.225,0
비빔국수,550.0,577.17,114.475,11.014999999999999,9.549999999999999,16.705000000000002,130.69,262.575,1628.3000000000002,1389.395,7.55,6.27,2.59,0.0,0
비빔냉면,550.0,594.3100000000001,91.49200000000002,1.999,9.127999999999998,23.699,64.99000000000001,1186.2999999999997,1530.5699999999997,298.62,12.314,6.434,4.632,31.731,0
삼선우동,1000.0,692.2599999999999,89.195,1.999,10.527999999999999,56.1725,216.64000000000001,687.99,2351.4322,1527.995,68.7435,11.293,5.4695,640.675,0
삼선자장면,700.0,787.844,111.57,1.999,24.682,38.326,143.37,493.95000000000005,2791.1097,850.27,41.696,6.669,3.563,162.23999999999998,0
삼선짬뽕,900.0,629.1000000000001,89.31099999999999,2.997,13.452,39.17,172.14000000000001,509.59999999999997,2825.6600000000003,1501.7799999999997,-,9.818999999999999,4.368,249.3,0
수제비,800.0,622.148,99.21699999999998,0.0,6.5409999999999995,38.529,1054.841,907.2770000000002,1669.3157,1892.553,46.05,11.102,4.707999999999999,209.0,0
쌀국수,600.0,321.33500000000004,46.19799999999999,2.198,5.814,21.848000000000003,45.016000000000005,184.223,2032.165,360.68600000000004,48.04,3.2049999999999996,4.894000000000001,123.03,0
열무김치국수,800.0,488.32399999999996,81.61199999999998,0.0,8.223,21.935999999999996,341.36,295.98199999999997,2587.704,1125.83,1.1500000000000001,4.4479999999999995,1.7317999999999998,45.144,0
오일소스스파게티,400.0,626.5849999999999,99.24400000000001,0.0,16.585,14.675,37.370000000000005,52.555,968.6960000000001,218.39000000000001,0,3.007,2.3465000000000003,0.0,0
일식우동,700.0,420.79300000000006,81.226,0.5,1.739,16.935,88.548,155.031,1873.5439999999994,371.349,9.342,3.173,0.708,16.202,0
볶음우동,300.0,377.92,62.259,0.9084,10.809999999999999,9.584999999999997,50.25,93.80000000000001,1461.3100000000002,637.56,5.7299999999999995,2.073,1.0190000000000001,0.0,0
자장면,650.0,760.88275,134.2891,7.992,23.1648,15.739625,166.695875,302.55975,2446.9963749999997,1013.844,37.456,5.3252500000000005,1.406825,3.08,0
잔치국수,700.0,564.2339999999999,104.66499999999999,0.44,6.226000000000001,20.262,250.38199999999998,277.29900000000004,1792.2259999999999,904.1229999999999,3.553,3.773,1.903,167.409,0
짬뽕,1000.0,650.3059999999999,118.54399999999998,0.0,13.524999999999999,25.525,82.74100000000001,320.5969999999999,3451.3679999999995,857.4429999999999,32.800000000000004,4.604999999999999,3.5549999999999993,105.225,0
짬뽕라면,750.0,633.34,88.792,0.0,24.628,31.408000000000005,127.96000000000001,393.28000000000003,2380.926,1279.06,-,11.156,3.84,85.27999999999999,0
쫄면,450.0,622.4189999999999,110.852,22.13,6.932,12.358,140.025,304.89,1271.545,547.135,19.64,4.192,1.455,0.0,0
치즈라면,600.0,598.674,83.534,0.0,23.282,23.346999999999998,152.40900000000002,367.79299999999995,2425.9700000000003,652.327,-,3.0560000000000005,2.9929999999999994,302.2,0
콩국수,800.0,623.5,67.116,0.999,20.433000000000003,47.802,227.94,591.0600000000001,875.8390999999999,1343.71,0,8.579999999999998,5.327,0.0,0
크림소스스파게티,400.0,825.0615000000001,85.87595000000002,0.0,45.39685000000001,19.442750000000004,233.3296,333.992,1025.2077000000002,916.2121,-,3.2619000000000002,2.55225,140.14550000000003,0
토마토소스스파게티,500.0,642.1776000000001,102.07200000000002,0.0,17.3664,20.222399999999997,97.17599999999999,220.68959999999998,1404.8111999999999,1651.2959999999998,-,5.0928,3.3888,12.648,0
해물칼국수,900.0,621.1973999999999,124.20989999999999,0.0,4.0107,24.873299999999997,150.04889999999997,332.5052999999999,2195.0534999999995,887.2172999999999,-,10.544400000000001,2.1228,156.77399999999997,0
회냉면,550.0,638.902,131.8955,22.728749999999998,8.777999999999999,20.218000000000004,122.045,306.78999999999996,1524.2755,1374.1474999999998,-,6.093999999999999,3.1405,92.895,0
떡국,800.0,714.9869,144.02990000000003,0.0,5.386700000000001,21.862199999999998,222.52300000000002,362.3531,2019.2821000000001,610.3986,-,4.515200000000001,4.1334,90.802,0
떡만둣국,700.0,625.347,113.9604,0.0,9.3978,22.721700000000002,150.6477,289.7448,1999.1163000000001,949.8609,-,3.7604999999999995,3.2361000000000004,298.81140000000005,0
짜장라면,250.0,409.375,63.77499999999999,0.0,14.850000000000001,12.0125,63.625,166,1276.375,490.25,-,1.625,0.835,1.5,0
고기만두,250.0,454.38500000000005,55.325,0.0,18.244999999999997,18.6575,121.6375,234.63750000000002,888.8000000000002,767.3375000000001,-,4.1899999999999995,3.09,21.0,0
군만두,250.0,684.4199999999998,76.17,0.0,31.174999999999997,19.772499999999997,53.37750000000001,281.61749999999995,983.7025000000001,595.0325,-,4.85,2.6574999999999998,36.0,0
김치만두,250.0,424.64240000000007,60.7932,0.0,13.096200000000001,18.4314,91.73060000000002,271.1773999999999,961.9740000000002,1181.7676000000004,-,5.5406,2.8157999999999994,20.28,0
물만두,120.0,158.05255,20.484949999999998,0.0,5.842,5.8580999999999985,27.602299999999996,81.85815,269.51974999999993,259.70910000000003,-,1.4213999999999998,0.7865999999999997,7.589999999999999,0
만둣국,700.0,432.621,53.276999999999994,0.0,14.924000000000001,19.243000000000002,163.289,300.748,2356.6689999999994,1202.8380000000002,-,5.0329999999999995,2.135,94.22,0
게살죽,800.0,554.2379999999999,103.5906,0.0,7.6259999999999994,18.146600000000003,159.9984,235.90579999999997,1533.9576,857.0639999999997,-,7.4948,3.3045999999999998,40.86879999999999,0
깨죽,800.0,505.67750000000007,71.13100000000001,0.0,18.940600000000003,13.429400000000001,407.8786,262.363,1212.2731000000003,186.59230000000002,-,6.3163,5.071300000000001,0.0,0
닭죽,1000.0,1181.71,92.53000000000003,0.0,48.17999999999999,75.93,116.55,584.82,789.79,1290.9699999999998,-,9.84,5.55,271.44,0
소고기버섯죽,800.0,573.2374,102.9346,0.0,6.461599999999999,20.524599999999996,31.2502,288.7629999999999,1263.6199999999997,504.505,-,2.1975999999999996,4.329599999999999,29.314999999999998,0
어죽,800.0,559.2741,90.46730000000001,0.0,6.0753,15.530899999999999,368.79150000000004,369.06100000000004,1621.2897000000003,450.21130000000005,-,4.8279,3.1261999999999994,75.768,0
잣죽,700.0,872.6080000000001,153.7851,0.0,20.2943,15.791900000000002,15.3296,196.779,850.6253,296.542,-,4.2277000000000005,4.5225,0.0,0
전복죽,800.0,587.2914000000001,105.0365,0.0,11.454,14.574800000000002,75.2312,269.7085,1423.9314000000004,405.9032,-,2.3157,2.5315000000000007,45.15200000000001,0
참치죽,800.0,658.4603999999999,105.9396,0.0,13.8528,26.083199999999998,63.7806,341.2812,1264.146,851.6508000000001,-,4.9842,2.5427999999999997,40.754999999999995,0
채소죽,800.0,514.8324,100.79520000000001,0.0,5.1294,11.8939,227.2623,290.18460000000005,1211.6340000000002,1377.6339999999998,-,2.7307000000000006,2.5149000000000004,24.285800000000002,0
팥죽,600.0,482.65200000000004,100.74000000000001,4.7940000000000005,0.564,20.592,90.99600000000001,76.74000000000001,1026.114,940.818,-,6.03,5.154,0.0,0
호박죽,600.0,430.326,111.40800000000002,25.776000000000003,0.72,8.112,18.174,165.35999999999999,911.7180000000001,1858.9019999999998,-,1.98,2.58,0.0,0
콘스프,400.0,280.482,35.372,0.0,14.016,5.822,-,-,1319.462,-,-,-,-,40.706,0
토마토스프,400.0,382.4119999999999,12.418000000000001,0.0,25.402,18.200000000000003,-,-,1544.308,-,-,-,-,70.8,0
굴국,450.0,194.4225,11.443499999999998,0.0,8.649000000000003,22.8015,270.96750000000003,400.9725,1775.9700000000003,759.1500000000001,-,5.724,13.612500000000002,45.0,0
김치국,450.0,85.9995,13.005,0.0,3.375,6.0345,111.34800000000001,144.8775,1646.1495000000002,580.185,-,1.917,1.1744999999999999,0.0,0
달걀국,450.0,193.04099999999997,5.350499999999999,0.0,11.110500000000002,16.1865,65.74950000000001,225.2025,1263.9645,229.572,-,2.0835,1.809,641.25,0
감자국,700.0,220.07299999999998,37.00899999999999,0.0,2.163,16.996,466.57800000000003,462.5949999999999,1734.152,1855.315,-,5.334,2.695,87.78,0
미역국,500.0,50.16499999999999,4.694999999999999,0.0,4.35,2.7000000000000006,112.69499999999998,43.92,1527.55,658.7149999999999,-,1.1099999999999999,0.44500000000000006,0.0,0
바지락조개국,550.0,159.247,8.5085,0.0,1.8425,25.828,168.949,388.48699999999997,1650.847,580.0629999999999,-,29.463500000000003,2.299,145.2,0
소고기무국,400.0,125.22400000000002,8.136,0.0,4.715999999999999,13.512000000000002,60.644,131.52800000000002,1095.184,662.8320000000001,-,3.988,1.7120000000000002,28.56,0
소고기미역국,650.0,154.9275,6.909500000000001,0.0,6.825000000000001,20.228,123.38300000000001,207.12900000000002,2006.8749999999998,912.73,-,3.5685,6.0645,41.34,0
순대국,800.0,550.6639999999999,22.816000000000006,0.0,32.93599999999999,41.224000000000004,125.03200000000001,208.52800000000002,1532.5919999999999,592.3439999999999,-,10.791999999999998,4.416,774.7679999999999,0
어묵국,600.0,252.09000000000006,37.164,0.0,4.2059999999999995,22.854,599.2500000000001,468.036,2022.7440000000001,1696.2660000000003,-,6.774,2.7720000000000002,100.368,0
오징어국,500.0,169.03499999999997,10.595,0.0,2.3549999999999995,27.740000000000006,81.87,409.095,1573.4199999999998,810.7100000000002,-,2.3449999999999998,2.7449999999999997,296.4,0
토란국,250.0,462.97,85.16,0.0,7.0725,23.8875,318.34749999999997,465.3675,700.6700000000001,2625.1849999999995,-,5.645,2.6925,37.724999999999994,0
